Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Vegetal,25,0.7,1.6,2.58,3.65,2.05
Vegetal,27,0.3,2.2,2.6,5.2,3.0
Vegetal,15,0.2,1.3,1.36,2.87,0.78
Vegetal,25,0.1,2.5,1.28,5.8,3.2
Vegetal,25,0.3,2.0,1.92,4.97,1.91
Vegetal,61,0.3,1.8,1.5,14.15,3.9
Vegetal,34,0.4,2.6,2.82,6.64,1.7
Vegetal,25,0.2,3.0,0.98,5.88,3.53
Vegetal,43,0.3,3.8,3.38,8.95,2.2
Vegetal,20,0.1,2.1,2.2,3.88,1.88
Vegetal,40,0.1,1.7,1.1,9.34,4.24
Vegetal,32,0.1,0.9,0.8,7.55,5.02
Vegetal,149,0.5,2.1,6.36,33.06,1.0
Vegetal,29,0.4,2.8,0.91,6.5,4.12
Vegetal,23,0.4,2.2,2.86,3.63,0.42
Vegetal,41,0.2,2.8,0.93,9.58,4.74
Vegetal,81,0.4,5.7,5.42,14.45,5.67
Vegetal,80,0.8,2.0,1.82,17.77,1.7
Vegetal,86,1.4,2.0,3.27,18.7,6.26
Vegetal,26,0.1,0.5,1.0,6.5,2.76
Vegetal,22,0.3,1.0,3.09,3.26,1.98
Fruits,52,0.2,2.4,0.26,13.81,10.39
Fruits,48,0.4,2.0,1.4,11.12,9.24
Fruits,160,15.0,6.7,2.0,8.53,0.66
Fruits,18,0.2,1.2,0.88,3.89,2.63
Fruits,89,0.3,2.6,1.09,22.84,12.23
Fruits,57,0.3,2.4,0.74,14.49,9.96
Fruits,43,0.5,5.3,1.39,9.61,4.88
Fruits,63,0.2,2.1,1.06,16.01,12.82
Fruits,354,33.0,9.0,3.33,15.23,6.23
Fruits,74,0.3,2.9,0.75,19.18,16.26
Fruits,57,0.5,3.9,0.81,13.93,0.0
Fruits,46,0.3,1.4,0.7,11.42,9.92
Fruits,61,0.5,3.0,1.14,14.66,8.99
Fruits,29,0.3,2.8,1.1,9.32,2.5
Fruits,30,0.2,2.8,0.7,10.54,1.69
Fruits,60,0.4,1.6,0.82,14.98,13.66
Fruits,30,0.2,0.4,0.61,7.55,6.2
Fruits,49,0.2,2.2,0.91,12.54,8.5
Fruits,43,0.3,1.7,0.47,10.82,7.82
Fruits,39,0.3,1.5,0.91,9.54,8.39
Fruits,63,0.2,3.1,0.39,15.01,9.69
Fruits,50,0.1,1.4,0.54,13.12,9.85
Fruits,32,0.3,2.0,0.67,7.68,4.89
Fruits,53,0.3,1.8,0.81,13.34,10.58
Fruits,34,0.2,0.9,0.84,8.16,7.86
Fruits,44,0.3,1.7,1.06,10.55,7.89
Fish,156,5.6,0.0,26.48,0.0,0.0
Fish,105,0.9,0.0,22.83,0.0,0.0
Fish,203,12.0,0.0,23.03,0.0,0.0
Fish,262,18.0,0.0,23.85,0.0,0.0
Fish,96,1.9,0.0,18.51,0.0,0.0
Fish,150,5.8,0.0,22.92,0.0,0.0
Fish,124,3.0,0.0,22.73,0.0,0.0
Fish,184,6.3,0.0,29.91,0.0,0.0
Fish,204,8.2,0.0,28.62,1.92,0.0
Meat,148,3.4,0.0,29.5,0.0,0.0
Meat,203,10.0,0.0,27.37,0.0,0.0
Meat,283,20.0,0.0,24.75,0.0,0.0
Meat,309,30.0,2.6,11.69,5.31,0.0
Meat,177,6.1,0.0,28.41,0.0,0.0
Meat,201,11.0,0.0,23.48,0.0,0.0
Meat,173,3.5,0.0,33.02,0.0,0.0
Meat,143,3.0,0.0,27.1,0.0,0.0
Meat,196,15.0,0.0,13.61,0.83,0.4
Meat,155,11.0,0.0,12.58,1.12,1.12
Seafood,99,0.3,0.0,23.98,0.2,0.0
Seafood,159,4.0,0.0,28.81,0.0,0.0
Seafood,172,4.5,0.0,23.8,7.39,0.0
Seafood,148,2.0,0.0,25.55,5.13,0.0
Seafood,89,0.9,0.0,19.0,0.0,0.0
Seafood,111,0.8,0.0,20.54,5.41,0.0
Seafood,82,1.2,0.0,16.77,0.0,0.0
Seafood,164,2.1,0.0,29.82,4.4,0.0
Seafood,158,1.4,0.0,32.48,1.64,0.0
Seafood,175,7.5,0.0,17.94,7.79,0.0
Dairy,15,1.1,0.0,0.59,0.58,0.0
Dairy,54,1.8,0.6,3.27,6.28,3.99
Dairy,47,1.0,0.3,0.28,9.17,5.28
Dairy,62,3.3,0.0,3.21,4.88,4.88
Dairy,300,22.0,0.0,22.17,2.19,1.03
Dairy,404,33.0,0.0,22.87,3.09,0.48
Dairy,334,28.0,0.0,20.75,0.45,0.45
Dairy,356,27.0,0.0,24.94,2.22,2.22
Dairy,415,27.0,0.0,37.86,3.41,0.9
Dairy,97,5.0,0.0,9.0,3.98,4.0
Dairy,73,1.9,0.0,9.95,3.94,3.56
Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Oils and Fat,892,99.0,0.0,0.0,0.0,0.0
Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Oils and Fat,862,100.0,0.0,0.0,0.0,0.0
Oils and Fat,717,81.0,0.0,0.85,0.06,0.06
Oils and Fat,424,48.0,0.0,0.2,0.86,0.0
Oils and Fat,717,81.0,0.0,0.85,0.06,0.06
Grain,102,1.6,2.1,3.8,18.69,0.0
Grain,352,1.2,15.6,9.91,77.72,0.8
Grain,83,0.2,4.5,3.08,18.58,0.1
Grain,132,0.8,4.3,5.71,27.6,3.07
Grain,389,6.9,10.6,16.89,66.27,0.0
Grain,120,1.9,2.8,4.4,21.3,0.87
Grain,101,0.3,1.8,3.99,21.34,0.73
Grain,130,0.2,0.3,2.38,28.59,0.0
Grain,112,0.8,1.8,2.32,23.51,0.0
Grain,343,3.4,10.0,13.25,71.5,0.0
Grain,238,2.2,9.2,10.66,43.91,5.0
Grain,265,4.2,7.4,13.36,43.34,6.39
Grain,149,1.7,3.9,5.99,30.07,0.75
Grain,77,0.1,2.1,2.05,17.49,0.82
Grain,357,0.9,2.7,5.9,88.01,7.84
